"ano_ingresso_destino","periodo_ingresso_destino","curso_origem","forma_reingresso"
2014,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"LETRAS - INGLÊS","VESTIBULAR"
2014,1,"LETRAS - INGLÊS","VESTIBULAR"
2017,1,"LETRAS - INGLÊS","VESTIBULAR"
2013,1,"SISTEMAS DE INFORMAÇÃO","MUDANCA DE CURSO"
2016,1,"CIÊNCIAS CONTÁBEIS (DIURNO)","SELEÇÃO SISU"
2014,1,"LETRAS - INGLÊS","VESTIBULAR"
2011,1,"ENGENHARIA DE PESCA","MUDANCA DE CURSO"
2014,1,"LETRAS - INGLÊS","VESTIBULAR"
2017,1,"ADMINISTRAÇÃO","VESTIBULAR"
2009,2,"LETRAS - INGLÊS","VESTIBULAR"
2009,2,"ADMINISTRAÇÃO","VESTIBULAR"
2011,1,"GEOGRAFIA","SELEÇÃO SISU"
2011,1,"LETRAS - INGLÊS","SELEÇÃO SISU"
2019,1,"ARQUITETURA E URBANISMO","SELEÇÃO SISU"
2009,1,"LETRAS - INGLÊS","VESTIBULAR"
2016,2,"LETRAS - INGLÊS","VESTIBULAR"
2018,2,"CIÊNCIAS ECONÔMICAS (NOTURNO)","SELEÇÃO SISU"
2012,1,"CIÊNCIAS ECONÔMICAS (NOTURNO)","MUDANCA DE CURSO"
2019,1,"LETRAS - INGLÊS","SELEÇÃO SISU"
2013,2,"LETRAS - INGLÊS","SELEÇÃO SISU"
2017,2,"LETRAS - INGLÊS","SELEÇÃO SISU"
2012,1,"LETRAS - INGLÊS","VESTIBULAR"
2014,1,"LETRAS - INGLÊS","VESTIBULAR"
2009,2,"LETRAS - INGLÊS","VESTIBULAR"
2014,1,"LETRAS - INGLÊS","VESTIBULAR"
2017,1,"CIÊNCIAS ECONÔMICAS (NOTURNO)","VESTIBULAR"
2009,2,"LETRAS - INGLÊS","VESTIBULAR"
2013,2,"LETRAS - INGLÊS","SELEÇÃO SISU"
2010,1,"ENGENHARIA DE PESCA","MUDANCA DE CURSO"
2013,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"ENGENHARIA DE PESCA","MUDANCA DE CURSO"
2014,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"ENGENHARIA DE PESCA","MUDANCA DE CURSO"
2011,1,"ENGENHARIA DE PESCA","MUDANCA DE CURSO"
2015,1,"MATEMÁTICA","SELEÇÃO SISU"
2013,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2009,1,"DIREITO (NOTURNO)","MUDANCA DE TURNO"
2013,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"MATEMÁTICA","VESTIBULAR"
2014,2,"PSICOLOGIA","SELEÇÃO SISU"
2011,1,"PSICOLOGIA","SELEÇÃO SISU"
2014,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2011,2,"PSICOLOGIA","SELEÇÃO SISU"
2014,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,2,"MATEMÁTICA","SELEÇÃO SISU"
2009,1,"MATEMÁTICA","VESTIBULAR"
2017,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2013,2,"MATEMÁTICA","SELEÇÃO SISU"
2017,1,"MATEMÁTICA","VESTIBULAR"
2018,1,"ARQUITETURA E URBANISMO","SELEÇÃO SISU"
2010,1,"PSICOLOGIA/CCGPSIC - SOBRAL","VESTIBULAR"
2013,1,"PSICOLOGIA/CCGPSIC - SOBRAL","SELEÇÃO SISU"
2011,2,"ARQUITETURA E URBANISMO","SELEÇÃO SISU"
2012,1,"MATEMÁTICA","TRANSF REGULAR"
2013,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2014,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2009,2,"MATEMÁTICA","VESTIBULAR"
2013,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,2,"GEOLOGIA","SELEÇÃO SISU"
2011,1,"GEOLOGIA","SELEÇÃO SISU"
2010,1,"GEOLOGIA","VESTIBULAR"
2011,1,"GEOLOGIA","SELEÇÃO SISU"
2011,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2016,2,"LETRAS","VESTIBULAR"
2014,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOLOGIA","SELEÇÃO SISU"
2014,1,"DIREITO (NOTURNO)","SELEÇÃO SISU"
2012,2,"DIREITO (NOTURNO)","SELEÇÃO SISU"
2014,1,"FÍSICA","SELEÇÃO SISU"
2012,1,"FÍSICA","VESTIBULAR"
2014,1,"MATEMÁTICA","SELEÇÃO SISU"
2009,2,"FÍSICA","VESTIBULAR"
2013,2,"FÍSICA","SELEÇÃO SISU"
2012,1,"FÍSICA","VESTIBULAR"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2010,1,"ARQUITETURA E URBANISMO","VESTIBULAR"
2009,1,"BIBLIOTECONOMIA","MUDANCA DE CURSO"
2017,1,"BIBLIOTECONOMIA","ADMISSAO DE GRADUADO"
2010,2,"BIBLIOTECONOMIA","VESTIBULAR"
2010,1,"BIBLIOTECONOMIA","VESTIBULAR"
2017,1,"BIBLIOTECONOMIA","SELEÇÃO SISU"
2014,2,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2012,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2011,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2010,1,"CIÊNCIAS BIOLÓGICAS","VESTIBULAR"
2012,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2014,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2012,1,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2011,2,"CIÊNCIAS BIOLÓGICAS","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2012,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2013,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2013,2,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2013,2,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2014,2,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2014,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2019,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2014,1,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2010,1,"CIÊNCIAS SOCIAIS (DIURNO)","VESTIBULAR"
2012,1,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2015,2,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2010,1,"CIÊNCIAS SOCIAIS (DIURNO)","MUDANCA DE CURSO"
2016,2,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2010,1,"CIÊNCIAS SOCIAIS (DIURNO)","MUDANCA DE CURSO"
2010,1,"CIÊNCIAS SOCIAIS (DIURNO)","MUDANCA DE CURSO"
2012,1,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2013,2,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2015,2,"CIÊNCIAS SOCIAIS (DIURNO)","NOVA MODALIDADE/HABILITAÇÃO"
2010,1,"COMUNICAÇÃO SOCIAL","VESTIBULAR"
2017,1,"COMUNICAÇÃO SOCIAL","SELEÇÃO SISU"
2017,2,"COMUNICAÇÃO SOCIAL","SELEÇÃO SISU"
2010,2,"COMUNICAÇÃO SOCIAL","VESTIBULAR"
2009,1,"COMUNICAÇÃO SOCIAL","MUDANCA DE CURSO"
2010,1,"COMUNICAÇÃO SOCIAL","VESTIBULAR"
2013,1,"COMUNICAÇÃO SOCIAL","SELEÇÃO SISU"
2013,1,"COMUNICAÇÃO SOCIAL","SELEÇÃO SISU"
2014,1,"COMUNICAÇÃO SOCIAL","ADMISSAO DE GRADUADO"
2012,1,"COMUNICAÇÃO SOCIAL","SELEÇÃO SISU"
2013,2,"COMUNICAÇÃO SOCIAL","SELEÇÃO SISU"
2010,1,"COMUNICAÇÃO SOCIAL","VESTIBULAR"
2010,1,"COMUNICAÇÃO SOCIAL","MUDANCA DE CURSO"
2017,2,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2010,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2015,1,"ECONOMIA DOMÉSTICA","ADMISSAO DE GRADUADO"
2009,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2011,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2010,2,"ECONOMIA DOMÉSTICA","VESTIBULAR"
2011,2,"ECONOMIA DOMÉSTICA","SELEÇÃO SISU"
2010,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2010,1,"ECONOMIA DOMÉSTICA","VESTIBULAR"
2009,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2010,1,"ECONOMIA DOMÉSTICA","VESTIBULAR"
2011,1,"ECONOMIA DOMÉSTICA","MUDANCA DE CURSO"
2010,1,"ECONOMIA DOMÉSTICA","VESTIBULAR"
2011,1,"ENFERMAGEM","SELEÇÃO SISU"
2011,1,"ENFERMAGEM","SELEÇÃO SISU"
2013,1,"ENFERMAGEM","SELEÇÃO SISU"
2011,1,"ENFERMAGEM","SELEÇÃO SISU"
2012,2,"ENFERMAGEM","VESTIBULAR"
2009,1,"ENFERMAGEM","VESTIBULAR"
2015,2,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2010,1,"ENGENHARIA CIVIL","VESTIBULAR"
2009,1,"ENGENHARIA CIVIL","VESTIBULAR"
2015,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2009,1,"ENGENHARIA CIVIL","VESTIBULAR"
2011,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2010,1,"ENGENHARIA CIVIL","VESTIBULAR"
2009,1,"ENGENHARIA CIVIL","VESTIBULAR"
2017,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2009,1,"ENGENHARIA CIVIL","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2013,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2011,1,"ENGENHARIA ELÉTRICA","MUDANCA DE CURSO"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2010,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2016,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2010,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2011,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2011,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2010,2,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2009,1,"ENGENHARIA ELÉTRICA","VESTIBULAR"
2011,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2015,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2009,1,"ENGENHARIA MECÂNICA","VESTIBULAR"
2009,1,"ENGENHARIA MECÂNICA","VESTIBULAR"
2009,1,"ENGENHARIA MECÂNICA","VESTIBULAR"
2009,1,"ENGENHARIA MECÂNICA","VESTIBULAR"
2011,1,"ENGENHARIA MECÂNICA","SELEÇÃO SISU"
2010,1,"ENGENHARIA MECÂNICA","VESTIBULAR"
2012,1,"ENGENHARIA MECÂNICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA METALÚRGICA","ADMISSAO DE GRADUADO"
2014,1,"ENGENHARIA METALÚRGICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA METALÚRGICA","SELEÇÃO SISU"
2013,1,"ENGENHARIA METALÚRGICA","SELEÇÃO SISU"
2012,1,"ENGENHARIA METALÚRGICA","SELEÇÃO SISU"
2009,1,"ENGENHARIA METALÚRGICA","VESTIBULAR"
2011,1,"ENGENHARIA METALÚRGICA","MUDANCA DE CURSO"
2011,1,"ENGENHARIA METALÚRGICA","MUDANCA DE CURSO"
2011,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2010,1,"ENGENHARIA QUÍMICA","MUDANCA DE CURSO"
2015,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2014,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2013,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2011,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2010,1,"ENGENHARIA QUÍMICA","VESTIBULAR"
2011,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2011,1,"ENGENHARIA QUÍMICA","MUDANCA DE CURSO"
2016,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2011,2,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2011,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2012,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2010,1,"ENGENHARIA QUÍMICA","VESTIBULAR"
2009,1,"ENGENHARIA QUÍMICA","VESTIBULAR"
2010,1,"ENGENHARIA QUÍMICA","VESTIBULAR"
2011,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2011,2,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2010,1,"ENGENHARIA QUÍMICA","MUDANCA DE CURSO"
2015,2,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2012,1,"ENGENHARIA DE PRODUÇÃO MECÂNICA","SELEÇÃO SISU"
2017,1,"ENGENHARIA DE PRODUÇÃO MECÂNICA","SELEÇÃO SISU"
2010,1,"ENGENHARIA DE PRODUÇÃO MECÂNICA","VESTIBULAR"
2011,1,"ENGENHARIA DE PRODUÇÃO MECÂNICA","SELEÇÃO SISU"
2012,1,"ENGENHARIA DE PRODUÇÃO MECÂNICA","MUDANCA DE CURSO"
2009,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","VESTIBULAR"
2009,2,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","VESTIBULAR"
2009,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","VESTIBULAR"
2009,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","VESTIBULAR"
2009,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","VESTIBULAR"
2013,1,"ENGENHARIA DE TELEINFORMÁTICA (DIURNO)","SELEÇÃO SISU"
2009,1,"ESTATÍSTICA","VESTIBULAR-REOPCAO"
2010,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2010,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2009,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2015,2,"ESTATÍSTICA","SELEÇÃO SISU"
2009,1,"ESTATÍSTICA","VESTIBULAR"
2009,1,"ESTATÍSTICA","MUDANCA DE CURSO"
2011,1,"ESTATÍSTICA","SELEÇÃO SISU"
2009,1,"ESTATÍSTICA","VESTIBULAR"
2013,1,"ESTATÍSTICA","TRANSF REGULAR"
2011,1,"ESTATÍSTICA","SELEÇÃO SISU"
2010,1,"ESTATÍSTICA","VESTIBULAR"
2011,1,"ESTILISMO E MODA","MUDANCA DE CURSO"
2009,2,"FARMÁCIA","VESTIBULAR"
2009,1,"FARMÁCIA","NOVA MODALIDADE/HABILITAÇÃO"
2009,1,"FARMÁCIA","NOVA MODALIDADE/HABILITAÇÃO"
2009,1,"FARMÁCIA","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"FARMÁCIA","SELEÇÃO SISU"
2011,2,"FARMÁCIA","SELEÇÃO SISU"
2016,1,"FARMÁCIA","SELEÇÃO SISU"
2012,1,"FARMÁCIA","SELEÇÃO SISU"
2012,1,"FARMÁCIA","SELEÇÃO SISU"
2009,1,"FARMÁCIA","VESTIBULAR"
2010,2,"FARMÁCIA","VESTIBULAR"
2016,1,"FARMÁCIA","SELEÇÃO SISU"
2010,2,"FARMÁCIA","VESTIBULAR"
2009,1,"FARMÁCIA","VESTIBULAR"
2013,2,"FARMÁCIA","SELEÇÃO SISU"
2011,1,"FARMÁCIA","VESTIBULAR"
2009,2,"FARMÁCIA","VESTIBULAR"
2017,2,"FARMÁCIA","SELEÇÃO SISU"
2013,2,"FARMÁCIA","SELEÇÃO SISU"
2017,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2008,2,"FÍSICA - LICENCIATURA","VESTIBULAR"
2010,1,"FÍSICA - LICENCIATURA","MUDANCA DE CURSO"
2009,1,"FÍSICA - LICENCIATURA","MUDANÇA DE MODALIDADE"
2014,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2017,1,"FÍSICA - LICENCIATURA","VESTIBULAR"
2018,1,"FÍSICA - LICENCIATURA","NOVA MODALIDADE/HABILITAÇÃO"
2009,1,"FÍSICA - LICENCIATURA","MUDANÇA DE MODALIDADE"
2016,2,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2018,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2018,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2009,1,"FÍSICA - LICENCIATURA","MUDANÇA DE MODALIDADE"
2008,2,"FÍSICA - LICENCIATURA","VESTIBULAR"
2010,1,"FÍSICA - LICENCIATURA","VESTIBULAR"
2011,1,"FÍSICA - LICENCIATURA","TRANSF REGULAR"
2012,1,"FÍSICA","VESTIBULAR"
2011,1,"FÍSICA","ADMISSAO DE GRADUADO"
2010,1,"GEOLOGIA","VESTIBULAR"
2009,1,"GEOLOGIA","MUDANCA DE CURSO"
2010,1,"GEOLOGIA","VESTIBULAR"
2017,2,"GEOLOGIA","SELEÇÃO SISU"
2010,1,"GEOLOGIA","VESTIBULAR"
2011,1,"GEOGRAFIA","SELEÇÃO SISU"
2010,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2015,2,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2014,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"GEOGRAFIA","VESTIBULAR"
2011,2,"GEOGRAFIA","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"GEOGRAFIA","SELEÇÃO SISU"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2009,1,"HISTÓRIA","VESTIBULAR"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"HISTÓRIA","SELEÇÃO SISU"
2012,2,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,2,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,2,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"HISTÓRIA","SELEÇÃO SISU"
2014,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2009,2,"HISTÓRIA","VESTIBULAR"
2017,1,"HISTÓRIA","SELEÇÃO SISU"
2012,2,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2013,2,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","SELEÇÃO SISU"
2012,2,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"HISTÓRIA","ADMISSAO DE GRADUADO"
2013,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"HISTÓRIA","NOVA MODALIDADE/HABILITAÇÃO"
2010,1,"LETRAS","ADMISSAO DE GRADUADO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2019,1,"LETRAS","ADMISSAO DE GRADUADO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"LETRAS","SELEÇÃO SISU"
2013,1,"LETRAS","SELEÇÃO SISU"
2012,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2014,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2010,1,"LETRAS","MUDANCA DE CURSO"
2019,1,"LETRAS","SELEÇÃO SISU"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"LETRAS","SELEÇÃO SISU"
2012,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"LETRAS","VESTIBULAR"
2015,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"LETRAS","SELEÇÃO SISU"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2015,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2014,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","SELEÇÃO SISU"
2014,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2017,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2012,1,"LETRAS","SELEÇÃO SISU"
2013,1,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2014,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"LETRAS","MUDANCA DE CURSO"
2009,1,"LETRAS","MUDANCA DE CURSO"
2014,1,"LETRAS","SELEÇÃO SISU"
2013,2,"LETRAS","SELEÇÃO SISU"
2011,2,"LETRAS","SELEÇÃO SISU"
2012,1,"LETRAS","SELEÇÃO SISU"
2011,1,"LETRAS","VESTIBULAR"
2011,2,"LETRAS","SELEÇÃO SISU"
2014,2,"LETRAS","NOVA MODALIDADE/HABILITAÇÃO"
2011,1,"LETRAS","MUDANCA DE CURSO"
2011,1,"LETRAS","MUDANCA DE CURSO"
2009,2,"LETRAS","VESTIBULAR"
