"ano_ingresso_destino","periodo_ingresso_destino","curso_origem","forma_reingresso"
2019,1,"MATEMÁTICA INDUSTRIAL","SELEÇÃO SISU"
2018,2,"EDUCACAO FÍSICA - LICENCIATURA (DIURNO)","SELEÇÃO SISU"
2019,1,"FÍSICA - BACHARELADO","MUDANCA DE CURSO"
2019,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,1,"CIÊNCIAS SOCIAIS (DIURNO)","SELEÇÃO SISU"
2019,1,"MEDICINA","SELEÇÃO SISU"
2019,1,"GEOGRAFIA","SELEÇÃO SISU"
2019,1,"BIOTECNOLOGIA","SELEÇÃO SISU"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"LETRAS","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE PESCA","SELEÇÃO SISU"
2018,2,"CIÊNCIAS AMBIENTAIS","SELEÇÃO SISU"
2018,2,"LETRAS - INGLÊS","SELEÇÃO SISU"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"CIÊNCIAS ECONÔMICAS (DIURNO)","SELEÇÃO SISU"
2019,1,"CIÊNCIAS AMBIENTAIS","SELEÇÃO SISU"
2019,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,1,"CIÊNCIAS SOCIAIS (NOTURNO)","SELEÇÃO SISU"
2019,2,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2019,2,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2018,2,"PEDAGOGIA (DIURNO)","SELEÇÃO SISU"
2019,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,2,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,1,"ENGENHARIA CIVIL","SELEÇÃO SISU"
2019,2,"PEDAGOGIA (DIURNO)","MUDANCA DE CURSO"
2019,1,"MATEMÁTICA INDUSTRIAL","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE TELECOMUNICAÇÕES","SELEÇÃO SISU"
2018,2,"CIÊNCIAS BIOLÓGICAS","SELEÇÃO SISU"
2019,1,"ENGENHARIA QUÍMICA","SELEÇÃO SISU"
2018,2,"LETRAS - INGLÊS","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE SOFTWARE","SELEÇÃO SISU"
2019,1,"MATEMÁTICA INDUSTRIAL","SELEÇÃO SISU"
2019,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2019,2,"OCEANOGRAFIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA MECÂNICA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE PRODUÇÃO MECÂNICA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE MINAS","SELEÇÃO SISU"
2019,2,"ENGENHARIA MECÂNICA","SELEÇÃO SISU"
2019,2,"CINEMA E AUDIOVISUAL","SELEÇÃO SISU"
2019,2,"REDES DE COMPUTADORES","MUDANCA DE CURSO"
2018,2,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE MINAS","SELEÇÃO SISU"
2019,2,"ENGENHARIA DE COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE MINAS","SELEÇÃO SISU"
2019,2,"CIÊNCIAS SOCIAIS (DIURNO)","MUDANCA DE CURSO"
2019,1,"BIOTECNOLOGIA","SELEÇÃO SISU"
2019,1,"MATEMÁTICA - LICENCIATURA","SELEÇÃO SISU"
2019,1,"ODONTOLOGIA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE MINAS","SELEÇÃO SISU"
2019,1,"MATEMÁTICA INDUSTRIAL","SELEÇÃO SISU"
2018,2,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,2,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"FILOSOFIA","SELEÇÃO SISU"
2019,2,"QUÍMICA - LICENCIATURA","NOVA MODALIDADE/HABILITAÇÃO"
2018,2,"PSICOLOGIA","SELEÇÃO SISU"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,1,"CIÊNCIA DA COMPUTAÇÃO","SELEÇÃO SISU"
2019,2,"SECRETARIADO EXECUTIVO","MUDANCA DE CURSO"
2019,1,"FÍSICA - LICENCIATURA","SELEÇÃO SISU"
2019,1,"ENGENHARIA DE ENERGIAS E MEIO AMBIENTE","SELEÇÃO SISU"
2019,1,"ENGENHARIA ELÉTRICA","SELEÇÃO SISU"
